Nom de la gare;Code UIC;Code postal;Segmentation;voyageurs 2016;volume total d'usagers 2016 (voyageurs+ non voyageurs);voyageurs 2015;volume total d'usagers 2015 (voyageurs+ non voyageurs);voyageurs 2014;volume total d'usagers 2014 (voyageurs+ non voyageurs)
Nouvion sur Meuse;172213;8160;c;53644;;60752;;60048;
Nouzonville;172023;8700;c;37653;;40491;;37338;
Objat;594630;19130;c;5670;;7562;;9002;
Olonne sur Mer;486431;85340;c;4029;;2679;;2040;
Ondres;673319;40440;c;6170;;7925;;7551;
Onville;192435;54890;c;8639;;11046;;12894;
Onzain;574319;41150;b;210976;;220780;;215510;
Orange;765107;84100;b;269720;;275203;;279007;
Ormoy Villers;271585;60800;c;5081;;4016;;2800;
Oudon;481184;44521;c;94988;;97778;;83602;
Ourscamps;276774;60138;c;4166;;3317;;2827;
Ozoir la Ferrière;116020;77330;b;2125636;;2143800;;2143800;
Pagny;713669;21250;c;9207;;8803;;9192;
Paris Montparnasse 1 et 2+Vaugirard;391003;75015;a;53593297;67128866;53890474;67363093;53767484;67209355
Pavilly Station;411272;76570;b;156811;;172627;;183782;
Peillon Sainte-Thècle;756783;6440;c;5232;;5393;;1935;
Pernes-Camblain;342550;62550;c;23119;;20736;;20089;
Peyrehorade;672337;40300;c;16481;;18362;;19368;
Phalempin;286500;59133;b;270835;;281311;;274847;
Picquigny;313106;80310;c;68129;;73579;;79872;
Pierreville;141556;54160;c;429;;1905;;1866;
Pins Justaret;618116;31860;b;188151;;201159;;194518;
Planès;784785;66210;c;709;;665;;383;
Plerguer;478123;35540;c;2972;;2914;;2560;
Plounérin;473199;22780;c;543;;576;;496;
Plouvara-Plerneuf;473132;22170;c;923;;1170;;1100;
Pointe de Grave;581397;33780;c;900;;614;;779;
Poix Terron;172171;51460;c;57276;;61532;;53712;
Polienas;761742;38210;c;24222;;24003;;18551;
Pompadour;594663;19410;c;8589;;10813;;10865;
Pont d'Ain;743120;1160;c;24009;;23805;;22849;
Pont de Beauvoisin;741470;38480;b;171491;;200819;;213446;
Pont de Dore;734459;63920;c;63040;;67865;;76047;
Pont de la Deûle;345207;59128;c;19755;;23891;;19890;
Pont de Lignon;726786;43430;c;77;;121;;556;
Pont de Rungis - Aéroport d'Orly;546192;94150;b;827083;;842400;;839713;
Pont Sainte-Maxence;276329;60700;b;818578;;825354;;879606;
Pontcharra sur Breda Allevard;747493;38530;b;598589;;585893;;568713;
Pontmort;734103;63200;c;24278;;25434;;22914;
Port Boulet;571794;37800;b;107903;;114557;;119623;
Port Sainte-Marie;586107;47130;c;46905;;47640;;52920;
Porte de Clichy;111278;75017;b;4390200;;4390200;;4390200;
Porte Puymorens;611509;66760;c;2027;;1832;;1593;
Prades Molitg les Bains;784637;66500;c;8317;;8782;;6313;
Prisse la Charrière;485359;79360;c;5421;;5716;;5733;
Provins;116160;77160;b;642600;;642600;;480169;
Quédillac;473058;35290;c;8094;;9026;;9284;
Rang du Fliers Verton;317057;62180;b;231918;;244155;;235264;
Reaumont Saint-Cassien;747279;38140;c;98372;;105084;;121452;
Reims;171009;51100;a;3731555;4903827;3817198;5022629;3975869;5231406
Rémy;313403;60190;c;7659;;7462;;8997;
Revin;172080;8500;b;218781;;240159;;240950;
Ribecourt;276766;60170;b;91156;;101057;;110347;
Rive de Gier;726331;42800;b;649413;;653101;;653713;
Rivesaltes;784173;66600;c;77809;;78307;;85945;
Rixheim;182071;68170;b;196489;;198900;;188580;
Roanne;726802;42300;b;932814;;957318;;974754;
Robiac;775502;30160;c;;;;;;
Romilly la Puthenaye;387175;27170;c;10787;;11665;;11263;
Romilly sur Seine;118158;10100;b;286892;;297184;;323135;
Romorantin-Blanc Argent;576025;41200;c;91662;;91349;;96684;
Roppenheim;212415;67480;c;13549;;15478;;17216;
Roqueserière Buzet;615351;31380;c;2272;;2830;;2791;
Rosa Parks;14;;b;8564400;;;;;
Rosheim;214320;67560;b;195848;;187423;;185330;
Roubaix;286732;59100;b;111489;;95519;;92434;
Rouessé Vasse;396259;72140;c;2742;;2556;;2510;
Route de Launaguet;611954;31140;c;229;;;;106;
Rozieres sur Mouzon;144311;88320;c;75;;;;;
Ruminghem;287300;62370;c;23238;;24832;;22529;
Saint-Amand Montrond Orval;576322;18200;c;48662;;54052;;58731;
Saint-André de Cubzac;491241;33240;b;345015;;320029;;304426;
Saint-Ay;574129;45130;c;20217;;22068;;19991;
Saint-Chamond;726307;42400;b;622031;;666384;;696205;
Saint-Clair les Roches;722652;38370;b;437328;;426694;;397104;
Saint-Clement Laronxe;141374;54950;c;27111;;33328;;32360;
Saint-Cyprien Arènes;446179;31300;b;284880;;309841;;318071;
Sainte-Colombe;715151;25300;c;14960;;13067;;14577;
Sainte-Eulalie Carbon Blanc;491282;33560;c;12418;;11835;;9442;
Saint-Étienne Châteaucreux;726000;42000;a;3853846;;3471228;;3453196;
Saint-Etienne du Rouvray;411215;76800;c;24456;;25950;;31245;
Saint-Flour Chaudes Aigues;783175;15100;c;20763;;26613;;28771;
Saint-Genouph;571851;37510;c;1452;;1393;;2710;
Saint-Georges de Luzençon;783423;12100;c;1824;;11644;;23489;
Saint-Germain Bel Air Fourqueux;366922;78100;b;243000;;270000;;270000;
Saint-Germain des Fossés;732206;3260;b;128512;;124726;;140088;
Saint-Germain Grande Ceinture;382804;78100;b;124200;;97200;;97200;
Saint-Hilaire-Saint-Nazaire;761684;38330;c;61239;;55981;;45179;
Saint-Jacques de la Lande;471052;35136;c;9233;;13043;;13607;
Saint-Jean de Luz Ciboure;677120;64500;b;257886;;294547;;308897;
Saint-Jean Pied de Port;673723;64220;c;50514;;36144;;39147;
Saint-Julien Clenay;713834;21490;c;28699;;31143;;32670;
Saint-Junien;592709;87200;c;18965;;19935;;19108;
Saint-Laurent Fouras;485136;17450;c;32880;;32844;;29756;
Saint-Leu d'Esserent;276402;60340;c;53906;;59351;;64735;
Saint-Lothain;718197;39230;c;3710;;3983;;3806;
Saint-Louis Haut-Rhin;182139;68300;b;1091299;;1092596;;1026441;
Saint-Marcellin (Isère);761718;38160;b;458642;;475193;;445831;
Saint-Martin le Beau;574459;37270;c;47556;;49385;;52068;
Saint-Mathurin;487892;49250;c;94411;;100983;;94355;
Mignaloux-Nouaille;575704;86550;c;3825;;4931;;4921;
Milhac d'Auberoche;595538;24330;c;500;;196;;17;
Miniac;478131;35540;c;867;;1096;;1293;
Mionnay;723726;1390;c;100966;;101362;;92990;
Modane;742007;73500;b;179682;;175543;;175711;
Moirans la Galifette;747691;38430;b;110765;;112127;;95691;
Molières sur Cèze;775528;30410;c;;;;;;
Molsheim;214577;67120;b;1547705;;1545849;;1515843;
Monestier de Clermont;747592;38650;c;26641;;27534;;24043;
Monsempron Libos;586453;47500;c;38906;;41095;;41944;
Mont de Marsan;671016;40000;b;219454;;266456;;280626;
Mont Notre Dame;171355;2220;c;5442;;6816;;7395;
Mont sur Meurthe;141143;54360;c;12117;;12123;;11273;
Montastruc la Conseillère;615369;31380;b;114424;;106542;;108196;
Montauban Ville Bourbon;611244;82000;a;1073433;;1087141;;1099785;
Montbazon;571406;37250;c;12530;;12146;;10620;
Monte Carlo Country Club;338590;6190;c;11683;;11806;;12580;
Monteux;765818;;c;29892;;24621;;;
Montigny en Ostrevent;345306;59182;b;173836;;187071;;185613;
Montigny sur Loing;684100;77690;b;183600;;183600;;183600;
Montivilliers;413724;76290;c;32919;;36238;;37968;
Montluçon-Rimard;323675;3100;c;10852;;8643;;7548;
Montmédy;194209;55600;c;7073;;8150;;9368;
Montmelian;741181;73800;b;452798;;468897;;496645;
Montoir de Bretagne;481713;44550;c;10226;;10101;;8279;
Montpaon;781534;12540;c;151;;240;;323;
Montpon Ménestérol;595322;24700;b;133304;;131072;;132381;
Montroc le Planet;746867;74660;c;4116;;4017;;3227;
Montville;411801;76710;b;141502;;149367;;149701;
Morez;715441;39400;c;26257;;25716;;29040;
Mormant;116087;77720;b;415800;;415800;;302400;
Morteau;718619;25500;b;120310;;151566;;159624;
Moulis-Listrac;581231;33480;c;14525;;18068;;21787;
Mourmelon le Petit;174409;51400;c;64177;;67964;;74668;
Moyeuvre Grande;191718;57250;c;26357;;28438;;31315;
Mundolsheim;212100;67450;c;78729;;74207;;62284;
Munster-Badischhof;386540;68140;c;8323;;13145;;29568;
Muret;611038;31600;b;824889;;940567;;948084;
Mussidan;595298;24400;b;145590;;148597;;146917;
Nerpuy;575167;85630;c;4995;;4697;;4582;
Neufchâteau;141291;88300;c;70239;;70459;;73343;
Neuilly Saint Front;116681;2470;c;2465;;3770;;3365;
Neussargues;645507;15170;c;15014;;13748;;15898;
Neuville Université;334482;95000;b;2451600;;2451600;;2451600;
Nexon;592725;87800;c;48197;;46569;;46235;
Niederbronn;213256;67110;b;130785;;130233;;124433;
Nogent sur Seine;118190;10400;b;180316;;188512;;195287;
Noyal Acigne;471540;35530;c;139809;;145166;;145517;
Nuits Saint-Georges;713529;21700;b;238497;;252172;;250202;
Oissel;411207;76350;b;335057;;347234;;358952;
Orangis Bois de l'Epine;681346;91130;b;2284200;;2284200;;2489400;
Orly Ville;546200;94310;b;1576800;;1576800;;1576800;
Orry la Ville Coye;276279;60560;b;1159587;;1119240;;1076881;
Ors;295667;59360;c;103;;105;;128;
Ostricourt;345249;59162;b;157291;;159952;;148564;
Oulchy-Brény;116699;2210;c;1051;;2784;;2636;
Pantin;113209;93500;b;7813800;;8121600;;8121600;
Paray le Monial;694687;71600;b;111915;;128040;;129419;
Paris Bercy;686667;75012;;3391881;3515717;;;;
Paris Gare de Lyon;686006;75012;a;100422655;113964299;101249573;133223122;96829784;127407610
Paris Nord;271007;75010;a;206691760;238825100;214220327;246230261;207468294;238469303
Parsac Gouzon;597724;23140;c;374;;;;98;
Pas des Lanciers;753285;13730;b;103566;;123670;;144609;
Pauillac;581256;33250;c;49166;;56956;;58291;
Peille;756791;6440;c;5313;;5505;;3084;
Péreire Levallois;381012;75017;b;5248800;;5248800;;5248800;
Pérols sur Vézère;592170;19170;c;20;;38;;306;
Pertuis;751362;84120;c;23649;;26109;;23674;
Pessac;581751;33600;b;689986;;735535;;745686;
Pibrac;611830;31820;b;134521;;154499;;158399;
Pierre Benite;722231;69310;c;24840;;30894;;37225;
Pierre Buffière;592253;87260;c;17933;;15072;;8182;
Pierrelatte;764308;26700;b;246852;;271152;;263220;
Pihen;316679;62340;c;1909;;2307;;2462;
Plaisir les Clayes;393629;78370;b;1117800;;1117800;;1117800;
Plaisir-Grignon;393421;78370;b;2861320;;2943000;;2943000;
Pommevic;618058;82400;c;354;;476;;272;
Pompey;141788;54340;c;55496;;62916;;66761;
Pont à Vendin;345264;62880;c;70857;;69611;;68005;
Pont d'Ardres;281410;62610;c;2602;;2671;;2266;
Pont de l'Alma;393041;75007;b;4163400;;4163400;;4163400;
Pont du Casse;586404;47480;c;143;;136;;;
Pont du Château;734087;63430;c;47514;;49532;;51352;
Pont Melvez;473520;22390;c;3218;;3339;;2871;
Pont sur Yonne;683136;89140;b;102518;;117270;;123941;
Pontarlier;715003;25300;b;165986;;170037;;177469;
Ponthierry-Pringy;682526;77310;b;486000;;486000;;351000;
Pontoise;276139;95300;b;6154149;;5805000;;5805000;
Pontorson-Mont Saint-Michel;478263;50170;c;18690;;20910;;15352;
Pontrieux;473843;22260;c;3311;;5537;;7670;
Port la Nouvelle;781062;11210;c;73433;;71290;;70641;
Port Saint-Père St-Mars;481218;44710;c;16036;;13613;;12644;
Port Vendres;784264;66660;c;21468;;23416;;27099;
Port Villez;415679;78270;;1257428;;1051632;;;
Poussay;144204;;c;199;;164;;185;
Précy sur Oise;276410;60460;c;30540;;34245;;36066;
Preignac;582767;33210;c;5407;;7257;;9168;
Prin Deyrançon;485268;79210;c;7243;;7270;;5902;
Raismes;343319;59590;c;38324;;36298;;35442;
Ranguin;757732;6400;c;35322;;35739;;32682;
Achiet;342048;62121;c;91271;;90220;;92028;
Aéroport Charles de Gaulle 1;271460;93290;b;4741664;;4768200;;4768200;
Aéroport Charles de Gaulle 2 TGV;271494;95716;;10748798;;10920487;11030795;10771660;10880464
Agde;781278;34300;a;632685;;637131;;637457;
Aigrefeuille;485193;;c;266;;;;;
Aiguebelette le Lac;741421;73610;c;4246;;3872;;4196;
Aillevillers;185629;70320;c;5605;;6708;;6280;
Aixe sur Vienne;592667;87700;c;7284;;7313;;10306;
Albens;746115;73410;c;85445;;88719;;88256;
Alès;775288;30100;b;426772;;410721;;398792;
Allassac;594234;19240;c;14406;;16752;;19231;
Allée de la Tour-Rendez-Vous;113878;93320;b;626400;;626400;;664200;
Alleyras;731885;43580;c;323;;253;;309;
Ambilly;742031;74100;c;;;268;;1339;
Amboise;574343;37400;b;489799;;504017;;483002;
Angers Saint Laud;484006;49100;a;5318581;8236797;5284928;8130659;5314885;8176747
Anstaing;287219;59152;c;5;;;;;
Apach Moselle;191643;57480;c;851;;941;;1326;
Arbois;718155;39600;c;42688;;49269;;47134;
Arches;144410;88380;c;49038;;56901;;61483;
Arcy sur Cure;683680;89270;c;1873;;2058;;2658;
Arenc Euroméditerranée;580340;;c;16402;;21735;;14619;
Arnèke;281121;59285;c;121843;;116677;;116994;
Aubergenville-Elisabethville;386730;78410;b;1600593;;1279800;;1279059;
Aubiat;734111;63260;c;5601;;4472;;4869;
Aubigny au Bac;345447;59265;c;47789;;51389;;51489;
Aubin;613224;12110;c;4780;;5444;;5367;
Aubrives;172122;8320;c;9166;;9962;;9534;
Aumont Aubrac;783266;48130;c;5109;;5688;;6501;
Auray;476200;56400;a;774212;;765825;;778680;
Aurec;726760;43110;c;63350;;69464;;47102;
Auxonne;713347;21130;b;264775;;263065;;254629;
Ax les Thermes;611533;9110;c;73058;;83240;;87726;
Baccarat;141416;54120;b;131161;;144083;;150952;
Bailleau le pin;394411;28120;c;76251;;76535;;75550;
Bannalec;474189;29380;c;21506;;23631;;21593;
Bantzenheim;182840;68490;c;8057;;10026;;8239;
Barentin Embranchement;411264;76360;b;247017;;281250;;306895;
Barjac;783563;48000;c;53;;;;;
Barsac;582759;33720;c;21310;;23406;;21790;
Bartenheim;182113;68870;c;138963;;136856;;130792;
Bayon;141218;54290;b;140700;;147484;;148497;
Bazancourt;171462;51110;b;181345;;175432;;170592;
Béard;696468;58160;c;749;;2268;;2768;
Beauvoir sur Niort;485342;79360;c;22822;;22608;;21048;
Belfort Montbéliard TGV;300822;90400;a;731291;1002598;736456;1008844;644345;882665
Bellac;592485;87300;c;32676;;29760;;30776;
Bellenaves;641068;3330;c;7864;;6391;;5927;
Benestroff;192302;57670;c;7209;;6936;;6539;
Bergerac;584268;24100;b;264775;;279900;;283492;
Berthelming;215335;57930;c;20447;;20044;;19411;
Bertry;345553;59980;c;6017;;6438;;7700;
Besançon-Mouillère;718015;25000;b;85796;;99928;;104447;
Besançon-Viotte;718007;25000;a;2019431;2221206;2118245;2327741;2108286;2316798
Bessay;696336;3340;c;10628;;8775;;8713;
Biffontaine;144188;88430;c;2790;;2888;;3597;
Bischwiller;213611;67240;b;532041;;560855;;533331;
Bitche;193821;57230;c;15462;;19145;;27488;
Blois;574004;41000;a;1466599;;1510967;;1530279;
Boisseaux;543082;45480;c;5480;;5426;;4168;
Boissise le Roi;682518;77310;b;124200;;124200;;113400;
Bollène la Croisière;764357;84500;b;82073;;92215;;92751;
Bondy;113407;93140;b;11728800;;11269800;;11390171;
Bords;491019;17430;c;7300;;10017;;9623;
Bouffémont-Moisselles;276485;95570;b;835199;;842400;;842400;
Boulainvilliers;543181;75016;b;4017600;;4017600;;4017600;
Bouray;545178;91850;b;1366200;;1366200;;1366200;
Bourg Bruche;214775;67420;c;8973;;9247;;9641;
Bourg Madame;784876;66760;c;5121;;6752;;6239;
Bourgtheroulde Thuit Hébert;415323;27520;c;2176;;2492;;3761;
Boussens;611095;31360;b;170377;;182712;;173829;
Boussy Saint-Antoine;682138;91800;b;3396600;;3396600;;2964600;
Bouvines;287235;59830;c;5;;;;;
Bouzonville;193177;57320;c;27300;;29839;;32331;
Brélidy-Plouec;473827;22140;c;2181;;2559;;1930;
Brest;474007;29200;a;1634475;;1618007;;1653953;
Brétigny;545194;91220;b;5737133;;5788800;;5761782;
Breuil-Romain;171322;51140;c;17649;;23624;;29185;
Bréval;381624;78980;b;633406;;590817;;573823;
Brion-Laizy;694596;71190;c;3319;;5440;;5241;
Bruges (Gironde);581736;33520;c;19791;;26547;;30466;
Brunstatt;181032;68350;;;;;;;
Bruyeres;144154;88600;c;58767;;59300;;61333;
Bruz;471037;35170;c;106528;;104545;;114969;
Bueil;387092;27730;b;129919;;128211;;130061;
